Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Short/Long Ratio,Closing Short/Long Ratio,Gap,Movement,Max Profit,Max Loss
"2023-02-09","15:50:00",407,"31 Feb 10 409 C BTO 1.01 | 62 Feb 10 406 C STO 2.43 | 31 Feb 10 403 C BTO 4.93",-110,406.96,"2023-02-10","13:43:00",-129,"Profit Target",589,31,12258,3410,"",0.82,0.69,3.76,-7.41,19.09,-38.18
"2023-02-08","15:50:00",410.44,"51 Feb 9 412 C BTO 1.18 | 102 Feb 9 409 C STO 2.72 | 51 Feb 9 406 C BTO 4.89",-65,411.82,"2023-02-09","11:04:00",-75,"Profit Target",510,51,11669,3315,"",0.9,0.89,-2.06,-2.69,18.46,-55.38
"2023-02-07","15:50:00",415.38,"89 Feb 8 417 C BTO 0.98 | 178 Feb 8 414 C STO 2.50 | 89 Feb 8 411 C BTO 4.23",-23,415.74,"2023-02-07","15:51:00",-71,"Profit Target",4272,89,11159,2047,"",0.96,0.88,-0.96,6.51,217.39,0
"2023-02-06","15:50:00",409.46,"31 Feb 7 411 C BTO 1.48 | 62 Feb 7 408 C STO 3.01 | 31 Feb 7 405 C BTO 5.14",-62,408.68,"2023-02-07","10:10:00",-73,"Profit Target",341,31,6887,1922,"",0.91,0.86,-2.56,-0.33,20.97,-6.45
"2023-02-03","15:50:00",411.69,"25 Feb 6 414 C BTO 0.87 | 50 Feb 6 411 C STO 2.24 | 25 Feb 6 408 C BTO 4.33",-74,410.74,"2023-02-06","09:32:00",-89,"Profit Target",375,25,6546,1850,"",0.86,0.74,-5.19,0.1,27.03,-2.7
"2023-02-02","15:50:00",415.24,"27 Feb 3 417 C BTO 2.02 | 54 Feb 3 414 C STO 3.53 | 27 Feb 3 411 C BTO 5.66",-64,412.24,"2023-02-03","09:32:00",-77,"Profit Target",351,27,6171,1728,"",0.92,0.71,4.06,0.38,23.44,-50
"2023-02-01","15:50:00",411.41,"26 Feb 2 413 C BTO 1.26 | 52 Feb 2 410 C STO 2.82 | 26 Feb 2 407 C BTO 5.06",-70,413.81,"2023-02-02","15:00:00",-57,"Exited at Specified Time",-338,26,5820,1820,"",0.89,0.93,-1.27,6.2,15.71,-97.14
"2023-01-31","15:50:00",404.81,"51 Feb 1 407 C BTO 1.75 | 102 Feb 1 404 C STO 3.18 | 51 Feb 1 401 C BTO 4.92",-33,405.33,"2023-01-31","15:51:00",-43,"Profit Target",510,51,6158,1683,"",0.95,0.94,0.54,3.68,36.36,0
"2023-01-30","15:50:00",400.97,"25 Jan 31 403 C BTO 0.92 | 50 Jan 31 400 C STO 2.33 | 25 Jan 31 397 C BTO 4.35",-63,401.23,"2023-01-30","15:51:00",-73,"Profit Target",250,25,5648,1575,"",0.88,0.87,-2.88,-1.83,19.05,0
"2023-01-27","15:50:00",406.72,"17 Jan 30 409 C BTO 0.68 | 34 Jan 30 406 C STO 1.98 | 17 Jan 30 403 C BTO 4.15",-89,404.78,"2023-01-30","10:04:00",-103,"Profit Target",238,17,5398,1513,"",0.82,0.58,-1.09,3.06,17.98,-17.98
"2023-01-26","15:50:00",403.87,"21 Jan 27 406 C BTO 0.85 | 42 Jan 27 403 C STO 2.21 | 21 Jan 27 400 C BTO 4.25",-70,403.87,"2023-01-26","15:54:00",-82,"Profit Target",252,21,5160,1470,"",0.87,0.84,2.78,0.74,20,0
"2023-01-25","15:50:00",399.67,"16 Jan 26 402 C BTO 0.85 | 32 Jan 26 399 C STO 2.21 | 16 Jan 26 396 C BTO 4.38",-83,400.49,"2023-01-26","10:57:00",-99,"Profit Target",256,16,4908,1328,"",0.85,0.81,-4.25,3.72,21.69,-60.24
"2023-01-24","15:50:00",399.59,"18 Jan 25 402 C BTO 0.72 | 36 Jan 25 399 C STO 2.02 | 18 Jan 25 396 C BTO 3.99",-69,399.93,"2023-01-24","15:51:00",-85,"Profit Target",288,18,4652,1242,"",0.86,0.83,-1.75,0.71,26.09,0
